patient,CV_ACC,REG_ACC,patient_again,CV_pi_rmse,CV_mu_rmse,CV_sigma_rmse,REG_pi_rmse,REG_mu_rmse,REG_sigma_rmse
patiant_406,0.9971537,0.9976265,patient_406,0.043023154,0.017957842,0.011140789,0.024776973,0.015327868,0.007905751
patiant_513,0.9954983,0.9984783,patient_513,0.04756291,0.022848468,0.017307535,0.032174647,0.019169116,0.016600396
patiant_484,0.983717,0.984174,patient_484,0.045144796,0.02335494,0.01270986,0.029870296,0.020742342,0.008199839
patiant_855,0.99825263,0.99917525,patient_855,0.044722002,0.01735207,0.01441403,0.02969726,0.012895786,0.011296341
patiant_465,0.9941965,0.9941497,patient_465,0.044615373,0.021675633,0.012912743,0.028927617,0.022079153,0.0121606765
patiant_643,0.99108446,0.9949769,patient_643,0.0498899,0.026920354,0.017568959,0.03286319,0.021020988,0.015893744
patiant_285,0.9874574,0.98800784,patient_285,0.045866862,0.029079314,0.013203644,0.029577272,0.02836613,0.011968779
patiant_60,0.9935986,0.9933929,patient_60,0.045268916,0.022763789,0.012740482,0.02795468,0.023275109,0.012829588
patiant_686,0.988125,0.9902135,patient_686,0.050724823,0.027228408,0.017998297,0.0361433,0.024216257,0.017498473
patiant_14,0.9963703,0.99613047,patient_14,0.04426007,0.019196674,0.011270559,0.026242789,0.019979384,0.010881651
patiant_267,0.98680604,0.9899176,patient_267,0.052519254,0.030395076,0.018144175,0.036514305,0.025694543,0.01669667
patiant_145,0.9964694,0.9970341,patient_145,0.043704562,0.019009793,0.012534747,0.026769595,0.016411308,0.008536856
patiant_344,0.9867047,0.98989695,patient_344,0.05270475,0.029644027,0.018919524,0.034931038,0.02184599,0.015660364
patiant_474,0.99838346,0.99819344,patient_474,0.042811744,0.014026872,0.010929717,0.025792453,0.013772571,0.009951375
patiant_874,0.9968473,0.996542,patient_874,0.044955343,0.017339349,0.013630821,0.0318254,0.015478998,0.011712525
patiant_878,0.9939326,0.99397755,patient_878,0.044064257,0.022100689,0.012410616,0.027598672,0.021789353,0.011522799
patiant_432,0.99526435,0.99596316,patient_432,0.04310116,0.02218136,0.01303151,0.026226807,0.0179505,0.009236553
patiant_663,0.9872817,0.9880425,patient_663,0.044527218,0.026944548,0.011749559,0.02747431,0.02511756,0.00834307
patiant_308,0.98387027,0.98543936,patient_308,0.04587728,0.031680953,0.014627976,0.03322897,0.028219925,0.010642364
patiant_181,0.9946876,0.9956164,patient_181,0.044921674,0.022845147,0.013336966,0.02855639,0.019156532,0.010136689
patiant_337,0.98795766,0.9909647,patient_337,0.053016447,0.030597132,0.01877337,0.035046168,0.023644727,0.016560793
patiant_318,0.9968185,0.9961641,patient_318,0.032344755,0.016770998,0.009071894,0.031608716,0.020310784,0.012374487
patiant_630,0.9881769,0.9890799,patient_630,0.045616776,0.027842881,0.012903064,0.027458232,0.024642106,0.008384094
patiant_97,0.9881016,0.98884773,patient_97,0.045405794,0.027438765,0.013492641,0.029877104,0.02710861,0.011842438
patiant_304,0.9883762,0.9917484,patient_304,0.052738935,0.030275367,0.018437972,0.035076678,0.022397473,0.016148629
patiant_837,0.9895824,0.990307,patient_837,0.04407998,0.0229133,0.012541421,0.03185979,0.01972078,0.009558368
patiant_538,0.9963769,0.99693376,patient_538,0.046093833,0.018971339,0.013910235,0.033544246,0.016558098,0.012354019
patiant_627,0.97795635,0.98020124,patient_627,0.0446582,0.031598356,0.015862485,0.02823172,0.02636684,0.008551952
patiant_8,0.9958468,0.9960576,patient_8,0.043936543,0.0210646,0.013464055,0.02622967,0.016626647,0.008991178
patiant_144,0.992068,0.9957884,patient_144,0.04849737,0.02593383,0.017177962,0.032408953,0.018381676,0.014868747
patiant_483,0.9979901,0.9993231,patient_483,0.045873743,0.01897561,0.014858504,0.029966542,0.012107079,0.011239909
patiant_270,0.9910295,0.9920498,patient_270,0.044251915,0.025163742,0.012006225,0.026081923,0.021975296,0.008054151
patiant_363,0.9907719,0.9909997,patient_363,0.043950014,0.02355891,0.01118718,0.026754634,0.022552514,0.008995565
patiant_30,0.97326046,0.97755843,patient_30,0.05513314,0.032573707,0.018468624,0.04099468,0.028856497,0.017696906
