,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.08318861,0.024403975549177177
1,1,3,0.4,0.08258586,0.03253863406556958
2,2,3,0.5,0.08242071,0.04067329258196197
3,3,3,0.6,0.08236174,0.048807951098354355
4,4,3,0.7,0.082336605,0.056942609614746745
5,5,5,0.3,0.07962167,0.04067329258196197
6,6,5,0.4,0.079402134,0.05423105677594929
7,7,5,0.5,0.079342,0.06778882096993662
8,8,5,0.6,0.07932073,0.08134658516392394
9,9,5,0.7,0.079311855,0.09490434935791126
10,10,7,0.3,0.07893818,0.05694260961474676
11,11,7,0.4,0.07886145,0.07592347948632902
12,12,7,0.5,0.07884247,0.09490434935791126
13,13,7,0.6,0.07883674,0.11388521922949352
14,14,7,0.7,0.0788349,0.13286608910107575
15,15,9,0.3,0.07874968,0.07321192664753154
16,16,9,0.4,0.07872506,0.09761590219670872
17,17,9,0.5,0.078722425,0.12201987774588591
18,18,9,0.6,0.07872344,0.14642385329506308
19,19,9,0.7,0.07872489,0.17082782884424028
20,20,11,0.3,0.078699104,0.08948124368031632
21,21,11,0.4,0.078700855,0.11930832490708845
22,22,11,0.5,0.078707516,0.14913540613386056
23,23,11,0.6,0.07871274,0.17896248736063264
24,24,11,0.7,0.07871645,0.20878956858740474
